nav | Desktop White | PROPERTIES SERVICES ABOUT Contact us | 0 | 0 | 1440 | 84 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(255, 255, 255) | 0px | 15px 8px | 0px none rgb(0, 0, 0) | none | 1 | 24px | flex | none | none | fill | hidden | relative
p |  |  | 344 | 4310 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h4 |  | Your Rights | 344 | 4373 | 750 | 48 | Switzer | 34px | 500 | 47.6px | normal | rgb(12, 12, 12) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(12, 12, 12) | none | 1 | normal | block | none | none | fill | visible | static
p |  | Depending on your location, you may have the follo | 344 | 4440 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Right to access — request a copy of the personal | 344 | 4483 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Right to rectification — request correction of i | 344 | 4525 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Right to erasure — request deletion of your pers | 344 | 4567 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Right to restrict processing — ask us to limit h | 344 | 4610 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Right to data portability — receive your data in | 344 | 4652 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Right to object — object to processing based on  | 344 | 4695 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | • Right to withdraw consent — withdraw consent at  | 344 | 4737 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  | To exercise any of these rights, please contact us | 344 | 4779 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  |  | 344 | 4822 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h4 |  | Third-Party Links and Services | 344 | 4884 | 750 | 48 | Switzer | 34px | 500 | 47.6px | normal | rgb(12, 12, 12) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(12, 12, 12) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | External Websites | 344 | 4972 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | Our platform may contain links to third-party webs | 344 | 5023 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h6 |  | Embedded Content | 344 | 5130 | 750 | 31 | Switzer | 22px | 500 | 30.8px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | Pages on our site may include embedded content suc | 344 | 5181 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  |  | 344 | 5268 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h4 |  | Children’s Privacy | 344 | 5330 | 750 | 48 | Switzer | 34px | 500 | 47.6px | normal | rgb(12, 12, 12) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(12, 12, 12) | none | 1 | normal | block | none | none | fill | visible | static
p |  | Homy is not directed to individuals under the age  | 344 | 5398 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
p |  |  | 344 | 5485 | 750 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
h4 |  | Policy Changes | 344 | 5547 | 750 | 48 | Switzer | 34px | 500 | 47.6px | normal | rgb(12, 12, 12) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(12, 12, 12) | none | 1 | normal | block | none | none | fill | visible | static
p |  | We may update this Privacy Policy from time to tim | 344 | 5615 | 750 | 67 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
footer | Light Mode Container | Find your next home Discover homes designed for yo | 0 | 5762 | 1440 | 1597 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(255, 255, 255) | 0px | 32px 16px 16px | 0px none rgb(0, 0, 0) | none | 1 | 80px | flex | none | none | fill | visible | relative
div | Footer | Find your next home Discover homes designed for yo | 16 | 5794 | 1408 | 1549 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(8, 11, 15) | 30px | 0px 0px 40px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | hidden | relative
div | Footer Main Container | Find your next home Discover homes designed for yo | 16 | 5794 | 1408 | 1509 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 0px | flex | none | none | fill | visible | relative
div | Content Area | Find your next home Discover homes designed for yo | 16 | 5794 | 1408 | 1222 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 30px | 80px 0px 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | CTA Wrapper | Find your next home Discover homes designed for yo | 420 | 5874 | 600 | 288 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Section Tag | Find your next home | 645 | 5874 | 150 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
div | Dark | Find your next home | 645 | 5874 | 150 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7px | flex | none | none | fill | visible | relative
div | Icon Wrapper |  | 645 | 5879 | 13 | 13 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 10px | 3px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Dot |  | 648 | 5882 | 7 | 7 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(75, 91, 99) | 10px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | clip | relative
p |  | Find your next home | 665 | 5874 | 130 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
div | Headline Text | Discover homes designed for your lifestyle | 420 | 5907 | 600 | 134 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
h3 |  | Discover homes designed for your lifestyle | 420 | 5907 | 600 | 134 | Switzer | 48px | 600 | 67.2px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Description Text | Explore properties, compare options, and move forw | 420 | 6051 | 600 | 58 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Explore properties, compare options, and move forw | 420 | 6051 | 600 | 58 | Switzer | 18px | 500 | 28.8px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
div | CTA Button | Get in Touch | 647 | 6119 | 147 | 44 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
a | Main/Black | Get in Touch | 647 | 6119 | 147 | 44 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgb(8, 11, 15) | 12px | 8px 8px 8px 16px | 0px none rgb(0, 0, 238) | none | 1 | 12px | flex | rgba(0, 0, 0, 0.2) 0px 5px 15px 0px | none | fill | visible | relative
div | Contact us | Get in Touch | 663 | 6129 | 83 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Get in Touch | 663 | 6129 | 83 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(255, 255, 255) | none | 1 | normal | block | none | none | fill | visible | static
div | Arrow |  | 758 | 6127 | 28 | 28 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgb(255, 255, 255) | 8px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 4px | flex | none | none | fill | hidden | relative
svg |  |  | 730 | 6127 | 28 | 28 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 0 | normal | block | none | none | fill | hidden | absolute
svg |  |  | 758 | 6127 | 28 | 28 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | block | none | none | fill | hidden | relative
div | Main Image |  | 16 | 6173 | 1408 | 844 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
img |  | Modern, glass-walled house at night, reflecting on | 16 | 6173 | 1408 | 844 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | cover | clip | static | https://framerusercontent.com/images/nuTtmfD0U8YTAyaN05gJQw2XU.png?scale-down-to=2048&width=2469&height=1347 | 1408x767
div | Cloud Image |  | 16 | 5794 | 1408 | 1222 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | absolute
img |  | Cloudy sky with grey-blue overcast and soft light. | 16 | 5794 | 1408 | 1222 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | cover | clip | static | https://framerusercontent.com/images/lQ2c1tUqYlj0bLtzWgULCmgN7Q.png?width=1344&height=768 | 1408x804
div | Logo Container |  | 16 | 6609 | 1408 | 341 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | absolute
svg |  |  | 202 | 6656 | 1036 | 247 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | static
div | Content Section | Find, explore, and choose your next home with a si | 60 | 7016 | 1320 | 287 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px 32px | 0px none rgb(0, 0, 0) | none | 1 | 35px | flex | none | none | fill | visible | relative
div | Content Stack | Find, explore, and choose your next home with a si | 92 | 7016 | 1256 | 191 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
div | Left Panel | Find, explore, and choose your next home with a si | 92 | 7016 | 420 | 150 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 40px | flex | none | none | fill | visible | relative
div | Left Stack | Find, explore, and choose your next home with a si | 92 | 7016 | 320 | 85 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | hidden | relative
div | Logo Image |  | 92 | 7016 | 102 | 30 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
a | White Logo |  | 92 | 7016 | 102 | 30 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 4px | flex | none | none | fill | clip | relative
svg |  |  | 92 | 7016 | 102 | 30 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | block | none | none | fill | hidden | static
div | Intro Text | Find, explore, and choose your next home with a si | 92 | 7056 | 320 | 45 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Find, explore, and choose your next home with a si | 92 | 7056 | 320 | 45 | Switzer | 14px | 400 | 22.4px | normal | rgb(245, 245, 245) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(245, 245, 245) | none | 1 | normal | block | none | none | fill | visible | static
div | Social Icons |  | 92 | 7141 | 160 | 25 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 20px | flex | none | none | fill | visible | relative
a | Icon Wrapper |  | 92 | 7141 | 25 | 25 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Instagram Icon |  | 92 | 7141 | 25 | 25 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgb(255, 255, 255) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | block | none | none | fill | visible | relative
a | Icon Wrapper |  | 137 | 7141 | 25 | 25 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Instagram Icon |  | 137 | 7141 | 25 | 25 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgb(255, 255, 255) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | block | none | none | fill | visible | relative
a | Icon Wrapper |  | 182 | 7141 | 25 | 25 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Instagram Icon |  | 182 | 7141 | 25 | 25 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgb(255, 255, 255) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | block | none | none | fill | visible | relative
a | Icon Wrapper |  | 227 | 7141 | 25 | 25 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Instagram Icon |  | 227 | 7141 | 25 | 25 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgb(255, 255, 255) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | block | none | none | fill | visible | relative
div | Right Panel | Explore Properties Services About Contact Us Conta | 985 | 7016 | 363 | 191 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 40px | flex | none | none | fill | visible | relative
div | Right Stack | Explore Properties Services About Contact Us | 985 | 7016 | 160 | 191 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 24px | flex | none | none | fill | hidden | relative
div | Company Name | Explore | 985 | 7016 | 58 | 26 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Explore | 985 | 7016 | 58 | 26 | Switzer | 16px | 500 | 25.6px | normal | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(255, 255, 255) | none | 1 | normal | block | none | none | fill | visible | static
div | Right Inner Stack | Properties Services About Contact Us | 985 | 7066 | 160 | 142 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 16px | flex | none | none | fill | hidden | relative
div | Navigation Item 2 | Properties | 985 | 7066 | 68 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
a | White | Properties | 985 | 7066 | 68 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 0px | flex | none | none | fill | visible | relative
div | Process Label | Properties | 985 | 7066 | 68 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Properties | 985 | 7066 | 68 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(245, 245, 245) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(245, 245, 245) | none | 1 | normal | block | none | none | fill | visible | static
div | Navigation Item 4 | Services | 985 | 7105 | 56 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
a | White | Services | 985 | 7105 | 56 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 0px | flex | none | none | fill | visible | relative
div | Process Label | Services | 985 | 7105 | 56 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Services | 985 | 7105 | 56 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(245, 245, 245) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(245, 245, 245) | none | 1 | normal | block | none | none | fill | visible | static
div | Navigation Item 1 | About | 985 | 7145 | 41 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
a | White | About | 985 | 7145 | 41 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 0px | flex | none | none | fill | visible | relative
div | Process Label | About | 985 | 7145 | 41 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | About | 985 | 7145 | 41 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(245, 245, 245) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(245, 245, 245) | none | 1 | normal | block | none | none | fill | visible | static
div | Navigation Item 3 | Contact Us | 985 | 7184 | 75 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
a | White | Contact Us | 985 | 7184 | 75 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 0px | flex | none | none | fill | visible | relative
div | Process Label | Contact Us | 985 | 7184 | 75 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Contact Us | 985 | 7184 | 75 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(245, 245, 245) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(245, 245, 245) | none | 1 | normal | block | none | none | fill | visible | static
div | Right Inner Stack | Contact homy@yopmail.com +123 456 000 New York, US | 1185 | 7016 | 163 | 166 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 24px | flex | none | none | fill | hidden | relative
div | Company Name | Contact | 1185 | 7016 | 63 | 26 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Contact | 1185 | 7016 | 63 | 26 | Switzer | 16px | 500 | 25.6px | normal | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(255, 255, 255) | none | 1 | normal | block | none | none | fill | visible | static
div | Right Info Stack | homy@yopmail.com +123 456 000 New York, USA | 1185 | 7066 | 163 | 116 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 16px | flex | none | none | fill | hidden | relative
div | Footer Template | homy@yopmail.com | 1185 | 7066 | 163 | 28 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
div | Desktop | homy@yopmail.com | 1185 | 7066 | 163 | 28 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 6px | flex | none | none | fill | hidden | relative
div | Icon wwrapper |  | 1185 | 7066 | 28 | 28 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(245, 245, 245) | 38px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 20px | flex | none | none | fill | hidden | relative
svg |  |  | 1191 | 7072 | 16 | 16 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | relative
a | White | homy@yopmail.com | 1219 | 7068 | 129 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 0px | flex | none | none | fill | visible | relative
div | Process Label | homy@yopmail.com | 1219 | 7068 | 129 | 22 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | homy@yopmail.com | 1219 | 7068 | 129 | 22 | Switzer | 14px | 400 | 22.4px | normal | rgb(245, 245, 245) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(245, 245, 245) | none | 1 | normal | block | none | none | fill | visible | static
div | Desktop | +123 456 000 | 1185 | 7110 | 119 | 28 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 6px | flex | none | none | fill | hidden | relative
div | Icon wwrapper |  | 1185 | 7110 | 28 | 28 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(245, 245, 245) | 38px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 20px | flex | none | none | fill | hidden | relative
svg |  |  | 1191 | 7116 | 16 | 16 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | hidden | relative
a | White | +123 456 000 | 1219 | 7112 | 85 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 0px | flex | none | none | fill | visible | relative
